Team Name,Year,Wins,Losses,PPG,Off Rating,Def Rating,Pace,FG%,FG3%,FT%,Off RBG,Def RBG,Assists / Game,Steals / Game,Blocks / Game,Turnovers / Game,Fouls / Game
MilwaukeeBucks,2019,60.0,22.0,118.1,113.8,105.2,103.3,0.476,0.353,0.773,9.3,40.4,26.0,7.5,5.9,13.9,19.6
MilwaukeeBucks,2018,44.0,38.0,106.5,109.8,110.1,96.2,0.478,0.355,0.783,8.4,31.5,23.2,8.8,5.4,13.8,21.4
MilwaukeeBucks,2017,42.0,40.0,103.6,109.1,109.3,94.5,0.474,0.37,0.768,8.8,31.6,24.2,8.1,5.3,14.0,20.2
MilwaukeeBucks,2016,33.0,49.0,99.0,104.3,108.7,94.2,0.467,0.345,0.747,10.5,31.2,23.1,8.2,5.8,15.2,20.7
MilwaukeeBucks,2015,41.0,41.0,97.8,102.7,102.2,94.1,0.459,0.363,0.757,10.7,31.4,23.6,9.6,4.9,16.7,22.1
TorontoRaptors,2019,58.0,24.0,114.4,113.1,107.1,100.2,0.474,0.366,0.804,9.6,35.6,25.4,8.3,5.3,14.0,21.0
TorontoRaptors,2018,59.0,23.0,111.7,113.8,105.9,97.4,0.472,0.358,0.794,9.8,34.2,24.3,7.6,6.1,13.4,21.7
TorontoRaptors,2017,51.0,31.0,106.9,112.3,107.8,94.7,0.464,0.363,0.796,10.6,32.6,18.5,8.3,4.9,12.7,20.8
TorontoRaptors,2016,56.0,26.0,102.7,110.0,105.2,92.9,0.451,0.37,0.777,10.2,33.2,18.7,7.8,5.5,13.1,19.6
TorontoRaptors,2015,49.0,33.0,104.0,111.0,107.7,92.8,0.455,0.352,0.787,10.7,30.8,20.7,7.5,4.4,12.9,20.9
GoldenStateWarriors,2019,57.0,25.0,117.7,115.9,109.5,100.9,0.491,0.385,0.801,9.7,36.5,29.4,7.6,6.4,14.3,21.4
GoldenStateWarriors,2018,58.0,24.0,113.5,113.6,107.6,99.6,0.503,0.391,0.815,8.4,35.1,29.3,8.0,7.5,15.5,19.6
GoldenStateWarriors,2017,67.0,15.0,115.9,115.6,104.0,99.8,0.495,0.383,0.788,9.4,35.0,30.4,9.6,6.8,14.8,19.3
GoldenStateWarriors,2016,73.0,9.0,114.9,114.5,103.8,99.3,0.487,0.416,0.763,10.0,36.2,28.9,8.4,6.1,15.2,20.7
GoldenStateWarriors,2015,67.0,15.0,110.0,111.6,101.4,98.3,0.478,0.398,0.768,10.4,34.3,27.4,9.3,6.0,14.5,19.9
DenverNuggets,2019,54.0,28.0,110.7,113.0,108.9,97.7,0.466,0.351,0.755,11.9,34.5,27.4,7.7,4.4,13.4,20.0
DenverNuggets,2018,46.0,36.0,110.0,112.5,111.0,96.8,0.47,0.371,0.767,11.0,33.5,25.1,7.6,4.9,15.0,18.7
DenverNuggets,2017,40.0,42.0,111.7,113.2,112.7,98.3,0.469,0.368,0.774,11.8,34.6,25.3,6.9,3.9,15.0,19.1
