Team Name,Year,Wins,Losses,PPG,Off Rating,Def Rating,Pace,FG%,FG3%,FT%,Off RBG,Def RBG,Assists / Game,Steals / Game,Blocks / Game,Turnovers / Game,Fouls / Game
MilwaukeeBucks,2019,60.0,22.0,118.1,113.8,105.2,103.3,0.476,0.353,0.773,9.3,40.4,26.0,7.5,5.9,13.9,19.6
MilwaukeeBucks,2018,44.0,38.0,106.5,109.8,110.1,96.2,0.478,0.355,0.783,8.4,31.5,23.2,8.8,5.4,13.8,21.4
TorontoRaptors,2019,58.0,24.0,114.4,113.1,107.1,100.2,0.474,0.366,0.804,9.6,35.6,25.4,8.3,5.3,14.0,21.0
TorontoRaptors,2018,59.0,23.0,111.7,113.8,105.9,97.4,0.472,0.358,0.794,9.8,34.2,24.3,7.6,6.1,13.4,21.7
GoldenStateWarriors,2019,57.0,25.0,117.7,115.9,109.5,100.9,0.491,0.385,0.801,9.7,36.5,29.4,7.6,6.4,14.3,21.4
GoldenStateWarriors,2018,58.0,24.0,113.5,113.6,107.6,99.6,0.503,0.391,0.815,8.4,35.1,29.3,8.0,7.5,15.5,19.6
DenverNuggets,2019,54.0,28.0,110.7,113.0,108.9,97.7,0.466,0.351,0.755,11.9,34.5,27.4,7.7,4.4,13.4,20.0
DenverNuggets,2018,46.0,36.0,110.0,112.5,111.0,96.8,0.47,0.371,0.767,11.0,33.5,25.1,7.6,4.9,15.0,18.7
HoustonRockets,2019,53.0,29.0,113.9,115.5,110.7,97.9,0.449,0.356,0.791,10.2,31.9,21.2,8.5,4.9,13.3,22.0
HoustonRockets,2018,65.0,17.0,112.4,114.7,106.1,97.6,0.46,0.362,0.781,9.0,34.5,21.5,8.5,4.8,13.8,19.5
PortlandTrailBlazers,2019,53.0,29.0,114.7,114.7,110.5,99.1,0.467,0.359,0.814,11.8,36.2,23.0,6.7,5.0,13.8,20.4
PortlandTrailBlazers,2018,49.0,33.0,105.6,109.1,106.4,96.5,0.452,0.366,0.8,10.2,35.3,19.5,7.0,5.2,13.5,19.5
Philadelphia76ers,2019,51.0,31.0,115.2,112.6,110.0,101.6,0.471,0.359,0.771,10.9,36.9,26.9,7.4,5.3,14.9,21.3
Philadelphia76ers,2018,52.0,30.0,109.8,109.5,105.0,99.8,0.472,0.369,0.752,10.9,36.5,27.1,8.3,5.1,16.5,22.1
UtahJazz,2019,50.0,32.0,111.7,110.9,105.7,100.3,0.468,0.356,0.736,10.0,36.4,26.0,8.1,5.9,15.1,21.1
UtahJazz,2018,48.0,34.0,104.1,108.4,103.9,95.7,0.462,0.366,0.779,9.0,34.2,22.4,8.6,5.1,14.7,19.6
BostonCeltics,2019,49.0,33.0,112.4,112.2,107.8,99.6,0.465,0.365,0.802,9.8,34.7,26.3,8.6,5.3,12.8,20.4
BostonCeltics,2018,55.0,27.0,104.0,107.6,103.9,96.0,0.45,0.377,0.771,9.4,35.1,22.5,7.4,4.5,14.0,19.7
OklahomaCityThunder,2019,49.0,33.0,114.5,110.3,107.0,102.8,0.454,0.348,0.713,12.6,35.5,23.4,9.3,5.2,14.0,22.4
