Team Name,Year,Wins,Losses,PPG,Off Rating,Def Rating,Pace,FG%,FG3%,FT%,Off RBG,Def RBG,Assists / Game,Steals / Game,Blocks / Game,Turnovers / Game,Fouls / Game
OklahomaCityThunder,2018,48.0,34.0,107.9,110.7,107.2,96.7,0.453,0.354,0.716,12.5,32.6,21.3,9.1,5.0,14.0,20.2
IndianaPacers,2019,48.0,34.0,108.0,109.9,106.5,98.1,0.475,0.374,0.752,9.3,33.7,26.0,8.7,4.9,13.7,19.4
IndianaPacers,2018,48.0,34.0,105.6,109.5,108.1,96.0,0.472,0.369,0.779,9.6,32.7,22.2,8.8,4.1,13.3,18.8
SanAntonioSpurs,2019,48.0,34.0,111.7,112.9,111.2,98.3,0.478,0.392,0.819,9.2,35.5,24.5,6.1,4.7,12.1,18.1
SanAntonioSpurs,2018,47.0,35.0,102.7,107.9,104.8,95.0,0.457,0.352,0.772,10.4,33.9,22.8,7.7,5.6,13.1,17.2
LAClippers,2019,48.0,34.0,115.1,112.4,111.5,101.7,0.471,0.388,0.792,9.7,35.8,24.0,6.8,4.7,14.5,23.3
LAClippers,2018,42.0,40.0,109.0,110.3,110.2,98.7,0.471,0.354,0.743,10.1,33.7,22.3,7.7,4.5,14.7,20.0
OrlandoMagic,2019,42.0,40.0,107.3,108.9,108.1,98.1,0.454,0.356,0.782,10.0,35.4,25.5,6.6,5.4,13.2,18.6
OrlandoMagic,2018,25.0,57.0,103.4,105.2,110.1,98.1,0.452,0.351,0.757,8.8,32.8,23.4,7.6,4.9,14.5,19.3
BrooklynNets,2019,42.0,40.0,112.2,109.6,109.7,100.8,0.449,0.353,0.745,11.0,35.6,23.8,6.6,4.1,15.1,21.5
BrooklynNets,2018,28.0,54.0,106.6,106.9,110.6,98.9,0.441,0.356,0.772,9.7,34.8,23.7,6.2,4.8,15.2,20.6
DetroitPistons,2019,41.0,41.0,107.0,109.0,109.2,97.4,0.44,0.348,0.747,11.4,33.6,22.5,6.9,4.0,13.8,22.1
DetroitPistons,2018,39.0,43.0,103.8,107.2,107.3,96.2,0.45,0.373,0.745,10.1,33.6,22.8,7.7,3.9,13.5,18.4
SacramentoKings,2019,39.0,43.0,114.2,110.4,111.5,103.1,0.464,0.378,0.726,11.0,34.4,25.4,8.3,4.4,13.4,21.4
SacramentoKings,2018,27.0,55.0,98.8,103.7,111.1,94.9,0.45,0.375,0.735,9.5,31.4,21.6,7.8,4.1,13.7,20.0
CharlotteHornets,2019,39.0,43.0,110.7,111.4,112.5,98.7,0.448,0.351,0.797,9.9,33.9,23.2,7.2,4.9,12.2,18.9
CharlotteHornets,2018,36.0,46.0,108.2,109.4,109.1,98.4,0.45,0.369,0.747,10.1,35.4,21.6,6.8,4.5,12.7,17.2
MiamiHeat,2019,39.0,43.0,105.7,107.3,107.6,98.2,0.45,0.349,0.695,11.2,35.1,24.3,7.6,5.5,14.7,20.9
MiamiHeat,2018,44.0,38.0,103.4,106.8,106.3,95.6,0.455,0.36,0.755,9.3,34.2,22.7,7.6,5.3,14.4,20.1
LosAngelesLakers,2019,37.0,45.0,111.8,107.8,109.5,103.2,0.47,0.333,0.699,10.2,36.4,25.6,7.5,5.4,15.7,20.7
LosAngelesLakers,2018,35.0,47.0,108.1,106.5,108.0,100.3,0.461,0.345,0.714,10.7,35.7,23.8,7.7,4.7,15.8,21.2
MinnesotaTimberwolves,2019,36.0,46.0,112.5,111.4,112.9,100.2,0.456,0.351,0.787,11.3,33.5,24.6,8.3,5.0,13.1,20.3
MinnesotaTimberwolves,2018,47.0,35.0,109.5,113.4,111.1,96.0,0.476,0.357,0.804,10.3,31.6,22.7,8.4,4.2,12.5,18.2
MemphisGrizzlies,2019,33.0,49.0,103.5,106.1,108.8,96.6,0.45,0.342,0.772,8.8,33.0,23.9,8.3,5.5,14.0,22.0
MemphisGrizzlies,2018,22.0,60.0,99.3,104.5,111.0,94.9,0.444,0.352,0.786,9.5,31.0,21.5,7.5,4.8,15.0,23.2
NewOrleansPelicans,2019,33.0,49.0,115.4,111.4,112.6,103.3,0.473,0.344,0.761,11.1,36.2,27.0,7.4,5.4,14.8,21.1
NewOrleansPelicans,2018,48.0,34.0,111.7,109.6,108.3,100.5,0.483,0.362,0.772,8.7,35.7,26.8,8.0,5.9,14.9,19.1
DallasMavericks,2019,33.0,49.0,108.9,109.4,110.7,99.0,0.447,0.34,0.742,10.1,35.2,23.4,6.5,4.3,14.2,20.1
DallasMavericks,2018,24.0,58.0,102.3,106.3,109.5,95.6,0.444,0.36,0.763,8.1,33.1,22.7,7.0,3.8,12.3,19.2
WashingtonWizards,2019,32.0,50.0,114.0,111.1,113.9,101.4,0.468,0.341,0.768,9.7,32.7,26.3,8.3,4.6,14.1,20.7
WashingtonWizards,2018,43.0,39.0,106.6,109.3,108.7,96.6,0.467,0.375,0.772,10.0,33.1,25.2,7.9,4.3,14.6,21.3
AtlantaHawks,2019,29.0,53.0,113.3,108.1,113.9,103.9,0.451,0.352,0.752,11.6,34.5,25.8,8.2,5.1,17.0,23.6
AtlantaHawks,2018,24.0,58.0,103.4,105.0,110.6,98.3,0.446,0.36,0.785,9.1,32.8,23.7,7.8,4.2,15.6,19.6
ChicagoBulls,2019,22.0,60.0,104.9,104.8,113.2,99.0,0.453,0.351,0.783,8.8,34.1,21.9,7.4,4.3,14.1,20.3
ChicagoBulls,2018,27.0,55.0,102.9,103.8,110.9,98.3,0.435,0.355,0.759,9.6,35.0,23.5,7.6,3.5,14.0,19.2
ClevelandCavaliers,2019,19.0,63.0,104.5,107.7,117.6,96.6,0.444,0.355,0.792,10.7,31.9,20.7,6.5,2.4,13.5,20.0
ClevelandCavaliers,2018,50.0,32.0,110.9,112.9,111.9,98.0,0.476,0.372,0.779,8.5,33.7,23.4,7.1,3.8,13.7,18.6
PhoenixSuns,2019,19.0,63.0,107.5,105.9,115.1,100.5,0.459,0.329,0.779,9.1,31.3,23.9,9.0,5.1,15.6,23.6
PhoenixSuns,2018,21.0,61.0,103.9,103.5,112.8,100.3,0.442,0.334,0.741,10.3,33.9,21.3,6.9,4.5,15.7,22.0
NewYorkKnicks,2019,17.0,65.0,104.6,104.5,113.7,99.6,0.433,0.34,0.759,10.5,34.3,20.1,6.8,5.1,14.0,20.9
NewYorkKnicks,2018,29.0,53.0,104.5,107.1,110.7,96.8,0.464,0.352,0.787,10.5,33.6,23.3,6.7,5.1,14.7,20.5
