Team Name,Year,Wins,Losses,Home Wins,Home Losses,Road Wins,Road Losses,Margin <= 3 Victories,Margin <= Losses,Margin >= 10 Victories,Margin >= Losses,PPG,Off Rating,Def Rating,Pace,FG%,FG3%,FT%,Off RBG,Def RBG,Assists / Game,Steals / Game,Blocks / Game,Turnovers / Game,Fouls / Game,Reached Finals,Finals Win
Los Angeles Lakers,2010,57,25,34,7,23,18,11,7,27,13,101.7,108.8,103.7,92.8,0.457,0.341,0.765,11.9,32.5,21.1,7.5,4.9,13.4,19.4,1,1
Detroit Pistons,2004,54,28,31,10,23,18,6,12,30,4,90.1,102,95.4,87.9,0.435,0.344,0.753,12.4,30.4,20.8,8,7,15.1,20.3,1,1
Houston Rockets,1995,47,35,25,16,22,19,5,8,27,18,103.5,109.7,107.4,94.2,0.48,0.368,0.749,10.7,29.8,25.1,8.8,6.3,16.1,20.9,1,1
San Antonio Spurs,2005,59,23,38,3,21,20,9,7,40,5,96.2,107.5,98.8,88.9,0.453,0.363,0.724,12,30.4,21.6,7.5,6.6,13.7,20.9,1,1
Miami Heat,2006,52,30,31,10,21,20,8,4,27,11,99.9,108.7,104.5,91.6,0.478,0.345,0.7,10.5,32.6,20.6,6.4,5.4,14.5,22.8,1,1
Miami Heat,2012,46,20,28,5,18,15,6,2,29,10,98.5,106.6,100.2,91.2,0.469,0.359,0.775,10.4,31.2,20,8.9,5.4,15.2,19.4,1,1
San Antonio Spurs,1999,37,13,21,4,16,9,4,2,22,5,92.8,104,95,88.6,0.456,0.33,0.698,12.3,31.7,22,8.4,7,15.2,20.2,1,1
Golden State Warriors,2016,73,9,39,2,34,7,7,2,44,5,114.9,114.5,103.8,99.3,0.487,0.416,0.763,10,36.2,28.9,8.4,6.1,15.2,20.7,1,0
Miami Heat,1997,61,21,29,12,32,9,15,4,31,6,94.8,106.8,100.6,88.2,0.453,0.364,0.719,11.7,29.3,21.2,7.9,5.4,15.9,23.4,0,0
Dallas Mavericks,2007,67,15,36,5,31,10,12,3,36,9,100,111.3,103.2,89.5,0.467,0.381,0.805,11.2,30.7,19.9,6.8,5,13.9,22.4,0,0
Houston Rockets,2018,65,17,34,7,31,10,5,3,38,8,112.4,114.7,106.1,97.6,0.46,0.362,0.781,9,34.5,21.5,8.5,4.8,13.8,19.5,0,0
Phoenix Suns,2005,62,20,31,10,31,10,7,2,36,8,110.4,114.5,107.1,95.9,0.477,0.393,0.748,11.8,32.3,23.5,7,5.5,13.7,19.1,0,0
San Antonio Spurs,2017,61,21,31,10,30,11,8,5,30,8,105.3,111.1,103.5,94.2,0.469,0.391,0.797,10,33.9,23.8,8,5.9,13.4,18.3,0,0
San Antonio Spurs,2006,63,19,34,7,29,12,10,2,31,11,95.6,107.3,99.6,88.5,0.472,0.385,0.702,10.4,31.1,20.9,6.6,5.7,13.7,20.9,0,0
San Antonio Spurs,1995,62,20,33,8,29,12,15,6,32,5,106.6,111.7,105.4,94.6,0.484,0.375,0.738,12.5,32.5,23.4,8,5.6,15.2,22.8,0,0
Portland Trail Blazers,2000,59,23,30,11,29,12,4,7,32,7,97.5,107.9,100.8,89.9,0.47,0.361,0.76,11.8,31.2,23.5,7.7,4.8,15.2,22.7,0,0
Dallas Mavericks,2005,58,24,29,12,29,12,8,4,28,10,102.5,110.3,104.1,92.7,0.457,0.364,0.789,12.1,30.9,19.6,8.6,5.6,13.4,22.3,0,0
Boston Celtics,1985,63,19,35,6,28,13,7,4,37,7,114.8,112.8,106.3,101.6,0.508,0.356,0.806,13.6,32.1,27.9,7.9,5,16.2,21.7,1,0
Boston Celtics,1982,63,19,35,6,28,13,13,4,29,8,112,109.8,103.5,101.5,0.499,0.266,0.74,15.3,30.4,25.9,8,6.9,17.7,24.6,0,0
Phoenix Suns,2007,61,21,33,8,28,13,5,4,32,4,110.2,113.9,106.4,95.6,0.494,0.399,0.808,9,31.5,25.9,6.7,4.8,14.5,20.2,0,0
Los Angeles Lakers,1998,61,21,33,8,28,13,5,3,38,10,105.5,111.9,103.7,93.6,0.481,0.351,0.679,13.2,30.1,24.5,9,6.8,15.3,22.7,0,0
Miami Heat,2011,58,24,30,11,28,13,2,8,35,6,102.1,111.7,103.5,90.9,0.481,0.37,0.769,9.6,32.5,20,6.6,5.2,13.9,20.4,1,0
Boston Celtics,2018,55,27,27,14,28,13,11,8,25,9,104,107.6,103.9,96,0.45,0.377,0.771,9.4,35.1,22.5,7.4,4.5,14,19.7,0,0
San Antonio Spurs,2016,67,15,40,1,27,14,4,4,44,6,103.5,110.3,99,93.8,0.484,0.375,0.803,9.4,34.5,24.5,8.3,5.9,13.1,17.5,0,0
Cleveland Cavaliers,2009,66,16,39,2,27,14,3,3,41,7,100.3,112.4,102.4,88.7,0.468,0.393,0.757,10.8,31.4,20.3,7.2,5.3,12.7,20.3,0,0
Detroit Pistons,2006,64,18,37,4,27,14,7,4,32,8,96.8,110.8,103.1,86.8,0.455,0.384,0.727,11.9,28.6,24,7.1,6,11.4,18.5,0,0
Portland Trail Blazers,1991,63,19,36,5,27,14,6,3,39,9,114.7,112.8,104.3,100.5,0.485,0.377,0.753,14.7,31.2,27.5,8.8,5,16,24.1,0,0
Los Angeles Lakers,1986,62,20,35,6,27,14,7,4,34,9,117.3,113.3,105.8,102.7,0.522,0.337,0.778,13.4,31.2,29.7,8.5,5.1,17.9,24.8,0,0
Phoenix Suns,1993,62,20,35,6,27,14,11,6,34,5,113.4,113.3,106.7,99.8,0.493,0.363,0.753,13.9,30.6,25.5,9.2,5.5,16.6,21.2,1,0
Boston Celtics,2009,62,20,35,6,27,14,7,3,35,6,100.9,110.5,102.3,90.4,0.486,0.397,0.765,10.6,31.5,22.7,7.6,4.7,15.6,23.1,0,0
Indiana Pacers,2004,61,21,34,7,27,14,7,6,30,8,91.4,103.8,97.2,87.5,0.435,0.351,0.764,11.8,29.9,21.6,8.9,5,14.4,20.8,0,0
Milwaukee Bucks,2019,60,22,33,8,27,14,5,6,45,5,118.1,113.8,105.2,103.3,0.476,0.353,0.773,9.3,40.4,26,7.5,5.9,13.9,19.6,0,0
Utah Jazz,1995,60,22,33,8,27,14,6,4,39,6,106.4,114.3,105.7,92.6,0.512,0.376,0.781,10.7,29.4,27.5,9.2,4.8,15.7,24.9,0,0
Dallas Mavericks,2003,60,22,33,8,27,14,6,7,36,6,103,110.7,102.3,92.5,0.453,0.381,0.829,11.1,31,22.4,8.1,5.5,11.6,21.1,0,0
Phoenix Suns,1995,59,23,32,9,27,14,8,2,28,13,110.6,114.5,110.4,95.9,0.482,0.369,0.756,12.5,29.3,26.8,8.4,3.8,14.2,22.4,0,0
Orlando Magic,2009,59,23,32,9,27,14,9,2,32,10,101,109.2,101.9,92.3,0.457,0.381,0.715,10,33.3,19.4,7,5.4,13.9,20.3,1,0
Minnesota Timberwolves,2004,58,24,31,10,27,14,6,6,34,6,94.5,105.9,99.7,89,0.462,0.363,0.781,10.7,32.3,23,6.8,5.6,12.7,21.1,0,0
Golden State Warriors,2019,57,25,30,11,27,14,7,7,34,10,117.7,115.9,109.5,100.9,0.491,0.385,0.801,9.7,36.5,29.4,7.6,6.4,14.3,21.4,1,0
Los Angeles Lakers,2008,57,25,30,11,27,14,5,8,37,9,108.6,113,105.5,95.6,0.476,0.378,0.769,11,33.2,24.4,8,5.3,14.1,20.6,1,0
Dallas Mavericks,2002,57,25,30,11,27,14,6,6,31,11,105.2,112.2,107.7,92.8,0.462,0.378,0.806,11.2,31.3,22.1,7.1,4.8,12.1,22.5,0,0
Houston Rockets,1997,57,25,30,11,27,14,6,3,27,13,100.6,108.8,104,91.6,0.468,0.365,0.755,11.3,31.3,24.5,8.4,4.2,16.6,19.6,0,0
Los Angeles Lakers,2011,57,25,30,11,27,14,4,4,30,9,101.5,111,104.3,90.7,0.463,0.352,0.779,12.1,31.9,22,7.3,5.1,13.1,19,0,0
Philadelphia 76ers,2001,56,26,29,12,27,14,6,4,26,12,94.7,103.6,98.9,90.6,0.447,0.326,0.745,13.1,31.7,20.6,8.4,5,15.8,20.4,1,0
Dallas Mavericks,2010,55,27,28,13,27,14,9,2,21,14,102,109.2,106.3,92.5,0.464,0.372,0.816,10.2,31.5,23.4,7.6,5.5,12.9,19.1,0,0
Detroit Pistons,2007,53,29,26,15,27,14,6,10,24,7,96,108.9,104.2,87.3,0.454,0.344,0.774,11.6,29,21.6,7.1,5.8,12.2,20.4,0,0
Orlando Magic,2008,52,30,25,16,27,14,6,6,34,12,104.5,111.3,105.5,93.4,0.474,0.386,0.721,9.4,32.6,20.8,6.3,4.1,14.3,20.6,0,0
