Team Name,Year,Wins,Losses,Home Wins,Home Losses,Road Wins,Road Losses,Margin <= 3 Victories,Margin <= Losses,Margin >= 10 Victories,Margin >= Losses,PPG,Off Rating,Def Rating,Pace,FG%,FG3%,FT%,Off RBG,Def RBG,Assists / Game,Steals / Game,Blocks / Game,Turnovers / Game,Fouls / Game,Reached Finals,Finals Win
Los Angeles Lakers,1981,54,28,30,11,24,17,9,9,19,9,111.2,107.6,103.9,102.7,0.512,0.181,0.729,14.2,30.4,28.8,9.9,6.7,19,23.8,0,0
Charlotte Hornets,1997,54,28,30,11,24,17,8,5,19,12,98.9,110.9,108.9,88.6,0.471,0.428,0.777,11.1,28,24.6,7.3,4.3,14.7,20.8,0,0
Detroit Pistons,1997,54,28,30,11,24,17,5,4,27,10,94.2,110.6,104.4,84.5,0.464,0.388,0.745,10.5,28,19,7.7,3.5,12.7,20.1,0,0
Los Angeles Clippers,2016,53,29,29,12,24,17,8,4,28,15,104.5,108.3,103.8,95.8,0.465,0.364,0.692,8.8,33.3,22.8,8.6,5.6,13,21.3,0,0
Houston Rockets,2007,52,30,28,13,24,17,4,4,25,13,97,106,100.7,90.7,0.445,0.372,0.753,10.7,32.6,20.8,7.1,4.1,14.2,20.9,0,0
Golden State Warriors,2014,51,31,27,14,24,17,11,8,28,9,104.3,107.5,102.6,96.2,0.462,0.38,0.753,10.9,34.4,23.3,7.8,5,15.2,21.8,0,0
Minnesota Timberwolves,2000,50,32,26,15,24,17,11,4,23,15,98.5,106.1,103.4,91.8,0.467,0.346,0.78,12.4,30.1,26.9,7.6,5.4,13.9,23.3,0,0
Detroit Pistons,2002,50,32,26,15,24,17,9,8,19,14,94.3,104.8,102.4,90,0.452,0.376,0.756,9.9,28.9,21.5,7.9,6.9,14.5,20.7,0,0
Chicago Bulls,2012,50,16,26,7,24,9,5,2,31,8,96.3,107.4,98.3,89.1,0.452,0.375,0.722,13.9,32.8,23.1,6.9,5.9,14,17.3,0,0
Portland Trail Blazers,2010,50,32,26,15,24,17,6,3,24,13,98.1,110.8,107.1,87.7,0.461,0.354,0.79,11.1,29.1,20.4,6.4,4.3,12.3,20.9,0,0
New Orleans Pelicans,2018,48,34,24,17,24,17,7,3,19,16,111.7,109.6,108.3,100.5,0.483,0.362,0.772,8.7,35.7,26.8,8,5.9,14.9,19.1,0,0
New York Knicks,1993,60,22,37,4,23,18,6,7,33,11,101.6,106.1,99.7,94.5,0.465,0.32,0.741,14,32.4,25.9,8.3,4.5,15.8,25.7,0,0
Orlando Magic,1996,60,22,37,4,23,18,12,5,35,14,104.5,112.9,106.9,91.8,0.482,0.378,0.691,11.8,29.3,25.4,8.1,5,14.1,20.8,0,0
Philadelphia 76ers,1980,59,23,36,5,23,18,17,3,24,8,109.1,105,101,103,0.492,0.216,0.772,14.5,32.1,27.1,9.7,8,20.8,22.7,1,0
Milwaukee Bucks,1985,59,23,36,5,23,18,8,8,38,6,110.9,110.5,103.6,99.7,0.491,0.303,0.757,15.3,28.7,26.4,8.4,5.9,16.9,27.3,0,0
San Antonio Spurs,2013,58,24,35,6,23,18,9,5,31,10,103,108.3,101.6,94.2,0.481,0.376,0.791,8.1,33.2,25.1,8.5,5.4,14.7,17.4,1,0
Los Angeles Clippers,2014,57,25,34,7,23,18,4,3,30,9,107.9,112.1,104.8,95.9,0.474,0.352,0.73,10.5,32.5,24.6,8.6,4.8,13.9,21.5,0,0
Boston Celtics,1983,56,26,33,8,23,18,7,4,29,7,112.1,106.9,101.8,104,0.492,0.21,0.737,15.5,30.9,27,9.6,6.4,18.8,25.1,0,0
Seattle SuperSonics,1980,56,26,33,8,23,18,10,6,25,7,108.5,105.8,101.2,101.8,0.47,0.312,0.768,16.8,31.1,24.9,9.1,5.2,18.2,22.7,0,0
Boston Celtics,2011,56,26,33,8,23,18,8,8,30,7,96.5,106.2,100.3,90.4,0.486,0.365,0.77,7.8,31,23.4,8.2,4.2,14.6,20.5,0,0
Phoenix Suns,1991,55,27,32,9,23,18,4,4,36,9,114,112.6,106.1,101,0.496,0.319,0.77,13.8,31.7,26.9,8.4,6.5,15.9,22.6,0,0
Oklahoma City Thunder,2016,55,27,32,9,23,18,8,6,33,5,110.2,113.1,105.6,96.7,0.476,0.349,0.782,13.1,35.6,23,7.4,5.9,15.9,20.6,0,0
San Antonio Spurs,1994,55,27,32,9,23,18,3,6,33,12,100,110.4,104.6,90.1,0.475,0.349,0.742,14.5,31.7,23.1,6.8,5.5,14.6,20.3,0,0
Philadelphia 76ers,1986,54,28,31,10,23,18,10,6,19,9,110.4,108.6,106.3,100.5,0.487,0.228,0.758,16.2,29,24.6,10.5,6,19.5,21.9,0,0
Phoenix Suns,2006,54,28,31,10,23,18,0,7,34,9,108.4,111.5,105.8,95.8,0.479,0.399,0.806,9.5,32.3,26.6,6.7,5,13.3,20.5,0,0
Portland Trail Blazers,2014,54,28,31,10,23,18,8,9,24,13,106.7,111.5,107.4,94.9,0.45,0.372,0.815,12.5,34,23.2,5.5,4.7,13.7,19.2,0,0
New York Knicks,2013,54,28,31,10,23,18,7,5,31,12,100,111.1,106.3,89.8,0.448,0.376,0.759,10.9,29.7,19.3,8.2,3.6,12,20.1,0,0
Boston Celtics,2017,53,29,30,11,23,18,7,6,17,11,108,111.2,108.4,96.8,0.454,0.359,0.807,9.1,32.9,25.2,7.5,4.1,13.3,20.6,0,0
Los Angeles Lakers,1996,53,29,30,11,23,18,9,9,31,13,102.9,111.4,106.6,92.4,0.48,0.351,0.746,12.1,28.1,25.4,8.8,6.3,14.2,20.8,0,0
Orlando Magic,2011,52,30,29,12,23,18,6,7,33,9,99.2,107.9,102,91.2,0.461,0.366,0.692,10.5,32.7,20,6.7,4.7,14.9,20,0,0
Toronto Raptors,2017,51,31,28,13,23,18,8,7,26,8,106.9,112.3,107.8,94.7,0.464,0.363,0.796,10.6,32.6,18.5,8.3,4.9,12.7,20.8,0,0
Dallas Mavericks,2015,50,32,27,14,23,18,5,4,22,18,105.2,109.5,106.4,95.2,0.463,0.352,0.752,10.5,31.8,22.5,8.1,4.5,13,20,0,0
Oklahoma City Thunder,2010,50,32,27,14,23,18,7,11,25,9,101.5,108.3,104.6,93.1,0.462,0.34,0.805,11.7,31.8,20,8,5.9,15,21.3,0,0
Chicago Bulls,2015,50,32,27,14,23,18,7,2,20,16,100.8,107.5,104.3,92.8,0.442,0.353,0.783,11.7,34,21.7,6.3,5.8,14,18.2,0,0
Memphis Grizzlies,2014,50,32,27,14,23,18,10,4,18,13,96.1,106.3,104.6,89.9,0.464,0.353,0.741,11.6,30.8,21.9,7.7,4.6,13.7,19.1,0,0
Portland Trail Blazers,2003,50,32,27,14,23,18,8,7,25,12,95.2,105.5,102.6,89.4,0.46,0.33,0.745,12.1,29,22.7,8.8,3.9,15.2,19.9,0,0
Dallas Mavericks,2014,49,33,26,15,23,18,11,11,23,10,104.8,111.2,108.7,93.5,0.474,0.384,0.795,10.2,30.7,23.6,8.6,4.3,13.5,20,0,0
Brooklyn Nets,2013,49,33,26,15,23,18,9,4,23,17,96.9,108.2,106.2,88.8,0.45,0.357,0.731,12.8,30,20.3,7.3,4.8,14.7,18.3,0,0
Detroit Pistons,1992,48,34,25,16,23,18,5,5,25,13,98.9,107.5,105.3,91.6,0.465,0.314,0.743,14.8,29.5,23.2,6.7,4.4,14.8,20.1,0,0
Philadelphia 76ers,2003,48,34,25,16,23,18,8,6,20,12,96.8,105,102.5,91.4,0.448,0.311,0.775,12.7,29.5,21.6,10.3,3.5,14.8,22,0,0
Miami Heat,2010,47,35,24,17,23,18,7,3,27,18,96.5,106.6,104.1,89.6,0.458,0.346,0.752,10.7,31.1,18.9,7.4,5.6,13.2,20.9,0,0
Charlotte Hornets,2002,44,38,21,20,23,18,6,6,17,16,93.9,104.3,103.3,89.7,0.44,0.348,0.745,12.9,30.5,21.5,8,5.6,14,21.3,0,0
Los Angeles Lakers,1989,57,25,35,6,22,19,9,7,35,10,114.7,113.8,106.7,100.1,0.502,0.34,0.802,13.3,31.9,27.8,8.8,5.1,16.4,20.4,1,0
Atlanta Hawks,1987,57,25,35,6,22,19,6,7,35,9,110,112.6,105.2,97.4,0.481,0.318,0.759,16.5,30.2,25.3,8.5,6.2,15.6,26.2,0,0
Cleveland Cavaliers,1992,57,25,35,6,22,19,11,9,25,7,108.9,113.9,108.2,95,0.488,0.357,0.805,12.7,29.9,27.6,7.5,7.6,13.1,19,0,0
San Antonio Spurs,1990,56,26,34,7,22,19,10,3,23,9,106.3,107.7,104.2,98.5,0.484,0.239,0.745,14.2,30.2,24.8,9.7,6.8,17.1,22.6,0,0
Los Angeles Lakers,2004,56,26,34,7,22,19,14,5,24,16,98.2,105.5,101.3,92.3,0.454,0.327,0.693,12.2,30.9,23.8,8.3,4.6,13.8,21.1,1,0
San Antonio Spurs,2008,56,26,34,7,22,19,8,6,31,11,95.4,107.2,101.8,88.8,0.457,0.369,0.761,9.4,31.9,21,6.4,4.1,12.6,18.7,0,0
San Antonio Spurs,1991,55,27,33,8,22,19,7,6,26,8,107.1,107.8,103.3,98.6,0.488,0.273,0.766,13.8,32.4,26.1,8.2,7,17.6,23.1,0,0
Seattle SuperSonics,1993,55,27,33,8,22,19,5,6,37,8,108.3,112.3,104.9,96,0.486,0.357,0.761,14.9,27.5,23.2,11.5,5,15.5,24,0,0
Sacramento Kings,2001,55,27,33,8,22,19,6,9,28,8,101.7,105.6,99.6,94.4,0.449,0.354,0.771,12,33,22.6,9.7,5.3,14.9,19.5,0,0
San Antonio Spurs,2015,55,27,33,8,22,19,6,7,34,7,103.2,108.5,102,93.8,0.468,0.367,0.78,9.8,33.8,24.4,8,5.4,14,19.1,0,0
Phoenix Suns,1990,54,28,32,9,22,19,6,5,38,7,114.9,113.1,106.2,100.7,0.496,0.324,0.795,12.8,32.3,25.7,8.1,6.1,15.5,22.3,0,0
Phoenix Suns,2010,54,28,32,9,22,19,5,4,31,10,110.2,115.3,110.2,95.3,0.492,0.412,0.77,11.1,31.9,23.3,5.8,5.1,14.8,20.9,0,0
Miami Heat,2014,54,28,32,9,22,19,8,7,29,10,102.2,110.9,105.8,91.2,0.501,0.364,0.76,7.6,29.2,22.5,8.9,4.5,14.8,19.5,1,0
Detroit Pistons,2005,54,28,32,9,22,19,8,8,26,14,93.3,105.6,101.2,87.2,0.444,0.345,0.739,12.9,30.6,21.8,7,6.1,13.8,20,1,0
San Antonio Spurs,1983,53,29,31,10,22,19,13,9,25,9,114.3,110.1,106.6,103.3,0.504,0.305,0.765,15,31.7,27.6,8.2,5.7,18.3,25.5,0,0
Houston Rockets,2019,53,29,31,10,22,19,5,7,29,12,113.9,115.5,110.7,97.9,0.449,0.356,0.791,10.2,31.9,21.2,8.5,4.9,13.3,22,0,0
Cleveland Cavaliers,2015,53,29,31,10,22,19,6,4,30,14,103.1,111.1,106.3,92.3,0.458,0.367,0.751,11.1,31.9,22.1,7.4,4.1,14.3,18.4,1,0
San Antonio Spurs,2000,53,29,31,10,22,19,8,7,31,11,96.2,105,98.6,90.8,0.462,0.374,0.746,11.3,32.5,22.2,7.5,6.7,15,20.9,0,0
Philadelphia 76ers,2018,52,30,30,11,22,19,4,7,31,11,109.8,109.5,105,99.8,0.472,0.369,0.752,10.9,36.5,27.1,8.3,5.1,16.5,22.1,0,0
Boston Celtics,1990,52,30,30,11,22,19,7,4,30,11,110,112,107.9,98.2,0.498,0.262,0.832,13,33,29.5,6.6,5.5,15.3,20.9,0,0
Los Angeles Clippers,2017,51,31,29,12,22,19,3,6,33,14,108.7,112.7,108.2,96.1,0.475,0.375,0.745,9,34,22.5,7.5,4.2,13,19.8,0,0
Utah Jazz,2017,51,31,29,12,22,19,4,4,23,10,100.7,109.6,105.3,91.6,0.466,0.372,0.747,9.4,33.8,20.1,6.7,5,13.6,18.8,0,0
New York Knicks,1981,50,32,28,13,22,19,17,5,19,13,107.9,106,104.4,101,0.483,0.237,0.747,13.9,26.9,24.1,10.5,3.8,17.8,23.4,0,0
San Antonio Spurs,2012,50,16,28,5,22,11,5,4,31,7,103.7,110.9,103.2,92.9,0.478,0.393,0.748,10.3,32.6,23.2,7.4,4.4,13.6,17.3,0,0
Portland Trail Blazers,2001,50,32,28,13,22,19,4,4,29,13,95.4,106.5,101.8,89.1,0.468,0.349,0.762,11.7,30.3,23.9,8.2,5.1,15.3,21.3,0,0
Oklahoma City Thunder,2019,49,33,27,14,22,19,6,7,23,12,114.5,110.3,107,102.8,0.454,0.348,0.713,12.6,35.5,23.4,9.3,5.2,14,22.4,0,0
Toronto Raptors,2015,49,33,27,14,22,19,6,5,29,11,104,111,107.7,92.8,0.455,0.352,0.787,10.7,30.8,20.7,7.5,4.4,12.9,20.9,0,0
Boston Celtics,2002,49,33,27,14,22,19,8,9,19,13,96.4,103.4,101,92.5,0.424,0.359,0.764,10.9,31.3,21,9.7,3.6,13.6,21.7,0,0
Los Angeles Clippers,2019,48,34,26,15,22,19,6,2,23,18,115.1,112.4,111.5,101.7,0.471,0.388,0.792,9.7,35.8,24,6.8,4.7,14.5,23.3,0,0
Phoenix Suns,2014,48,34,26,15,22,19,2,9,19,7,105.2,109.5,106.7,95.8,0.463,0.372,0.758,11.3,31.7,19.1,8.4,4.6,15.3,21.9,0,0
Toronto Raptors,2014,48,34,26,15,22,19,3,8,24,6,101.3,108.8,105.3,91.8,0.445,0.372,0.782,11.4,31.1,21.2,7,4.2,14.1,23,0,0
Denver Nuggets,2007,45,37,23,18,22,19,3,7,23,17,105.4,107.6,105.9,97.4,0.465,0.336,0.746,12.2,31.2,23.4,8.3,5.3,16.5,21.4,0,0
Charlotte Hornets,1993,44,38,22,19,22,19,10,5,14,19,110.1,109.5,109.7,100.2,0.487,0.326,0.771,13.4,30.6,26.4,7.8,5.8,16.2,21.8,0,0
Washington Wizards,2014,44,38,22,19,22,19,5,9,19,14,100.7,106,104.6,93.2,0.459,0.38,0.731,10.8,31.4,23.3,8.1,4.6,14.7,20.4,0,0
Phoenix Suns,1981,57,25,36,5,21,20,9,4,36,10,110,104.6,99.4,104.7,0.49,0.217,0.745,15,30.4,26.9,10.7,5.1,21.1,24.3,0,0
Boston Celtics,1988,57,25,36,5,21,20,9,2,32,13,113.6,115.4,109.4,97.9,0.521,0.384,0.803,11.3,29.8,29.9,7.6,5.1,15.9,22,0,0
Atlanta Hawks,1994,57,25,36,5,21,20,8,5,28,10,101.4,107.2,101.7,94.2,0.461,0.323,0.752,15.2,29.5,25.1,11.2,5.5,15.3,19.8,0,0
Boston Celtics,1991,56,26,35,6,21,20,7,3,39,14,111.5,112.6,106.7,98.5,0.512,0.315,0.824,13.3,32.9,26.3,8.2,6.9,16.1,20.7,0,0
Indiana Pacers,2014,56,26,35,6,21,20,4,3,29,17,96.7,104.1,99.3,92.5,0.449,0.357,0.779,10.2,34.5,20.1,6.7,5.4,15.1,20.4,0,0
Sacramento Kings,2004,55,27,34,7,21,20,5,4,29,9,102.8,110.3,104.9,92.8,0.462,0.401,0.795,10.8,30.4,26.2,8.7,4,13.9,19.3,0,0
Utah Jazz,1996,55,27,34,7,21,20,5,6,37,8,102.5,113.3,106.1,90,0.488,0.372,0.768,12.1,28.9,26.1,8.1,5.1,14.8,25,0,0
Houston Rockets,2014,54,28,33,8,21,20,7,6,30,9,107.7,111,106.3,96.3,0.472,0.358,0.712,11.2,34.1,21.4,7.6,5.6,16.1,20.4,0,0
Denver Nuggets,2009,54,28,33,8,21,20,8,5,32,14,104.3,110.4,106.8,94.3,0.47,0.371,0.76,11,30.6,22.2,8.7,6,15.3,22.9,0,0
Phoenix Suns,1983,53,29,32,9,21,20,4,10,30,10,107,105.1,100.1,101.6,0.497,0.253,0.743,13.3,30.7,28,9.1,6,18.8,25.1,0,0
Portland Trail Blazers,2019,53,29,32,9,21,20,4,6,29,8,114.7,114.7,110.5,99.1,0.467,0.359,0.814,11.8,36.2,23,6.7,5,13.8,20.4,0,0
Phoenix Suns,2000,53,29,32,9,21,20,7,9,27,10,98.9,104.6,99,94,0.457,0.368,0.759,12.5,31.2,25.6,9.1,5.3,16.7,24.1,0,0
Utah Jazz,2010,53,29,32,9,21,20,5,3,32,14,104.2,110.7,105,93.8,0.491,0.364,0.741,10.6,31.6,26.7,8.2,4.9,15.2,22.7,0,0
Seattle SuperSonics,1982,52,30,31,10,21,20,12,8,26,11,107.3,106.4,102.3,100,0.488,0.248,0.74,13.5,31,25.6,8.4,5.6,16.5,25.1,0,0
Houston Rockets,1991,52,30,31,10,21,20,10,8,24,13,106.7,107.4,103.9,98.5,0.467,0.32,0.741,15.5,30.6,23.2,9.7,5,17.1,22.9,0,0
Milwaukee Bucks,2001,52,30,31,10,21,20,3,7,20,12,100.7,108.8,104.6,92.1,0.458,0.379,0.787,11.9,30.5,22.5,8.2,4.7,13.7,23.5,0,0
Portland Trail Blazers,1993,51,31,30,11,21,20,6,4,27,19,108.5,108.3,105.2,99.1,0.458,0.326,0.745,15,30.6,24,9.4,5.2,14.8,23.1,0,0
New York Knicks,1992,51,31,30,11,21,20,6,8,25,13,101.6,108.3,104.2,92.9,0.477,0.325,0.734,14.5,30.4,26,7.7,4.7,15.1,23.2,0,0
Utah Jazz,2019,50,32,29,12,21,20,0,7,34,12,111.7,110.9,105.7,100.3,0.468,0.356,0.736,10,36.4,26,8.1,5.9,15.1,21.1,0,0
Golden State Warriors,1994,50,32,29,12,21,20,11,3,22,20,107.9,108.3,106.5,99.1,0.492,0.339,0.664,14.4,29.2,26.8,9.8,6.2,17.5,21.8,0,0
Cleveland Cavaliers,2018,50,32,29,12,21,20,8,5,17,20,110.9,112.9,111.9,98,0.476,0.372,0.779,8.5,33.7,23.4,7.1,3.8,13.7,18.6,1,0
San Antonio Spurs,2010,50,32,29,12,21,20,6,4,34,9,101.4,110,104.5,91.7,0.473,0.358,0.74,10.8,32,22.3,6.3,4.6,13.6,20.4,0,0
Charlotte Hornets,1995,50,32,29,12,21,20,5,8,25,16,100.6,109.6,106.1,91.2,0.474,0.397,0.777,10.1,29.2,25.3,7.6,4.9,14.9,20.5,0,0
Minnesota Timberwolves,2002,50,32,29,12,21,20,9,5,27,12,99.3,109,105.3,90.5,0.461,0.378,0.798,12.9,31.2,24.3,6.4,5.2,13.4,21.2,0,0
Atlanta Hawks,1998,50,32,29,12,21,20,8,9,28,13,95.9,108.2,104.3,87.7,0.455,0.332,0.756,13.5,29.5,19.1,8,6,14.8,20.4,0,0
Miami Heat,2001,50,32,29,12,21,20,9,9,18,12,88.9,101.1,98.5,87.1,0.43,0.345,0.759,9.9,29.7,19.9,7.7,3.7,13.7,21,0,0
Milwaukee Bucks,1980,49,33,28,12,21,21,13,10,23,12,110.1,106.8,102.9,102.4,0.488,0.323,0.764,15.2,29.2,27.8,9.5,6.2,18.2,23.6,0,0
Boston Celtics,2019,49,33,28,13,21,20,5,6,24,12,112.4,112.2,107.8,99.6,0.465,0.365,0.802,9.8,34.7,26.3,8.6,5.3,12.8,20.4,0,0
Portland Trail Blazers,2018,49,33,28,13,21,20,8,8,20,12,105.6,109.1,106.4,96.5,0.452,0.366,0.8,10.2,35.3,19.5,7,5.2,13.5,19.5,0,0
New Orleans Hornets,2009,49,33,28,13,21,20,8,1,23,17,95.8,108.7,107,87.8,0.457,0.364,0.807,9.8,29.9,19.6,7.2,4.1,12.5,20.3,0,0
Golden State Warriors,2008,48,34,27,14,21,20,9,2,22,14,111,111.8,109.5,98.8,0.459,0.348,0.752,12.7,30.4,22.4,9.1,4.6,13.2,22.9,0,0
Atlanta Hawks,2016,48,34,27,14,21,20,5,7,29,17,102.8,105.1,101.4,97.1,0.458,0.35,0.783,8.3,33.8,25.6,9.1,5.9,15,19.1,0,0
Oklahoma City Thunder,2018,48,34,27,14,21,20,8,10,24,11,107.9,110.7,107.2,96.7,0.453,0.354,0.716,12.5,32.6,21.3,9.1,5,14,20.2,0,0
Indiana Pacers,2018,48,34,27,14,21,20,11,2,20,16,105.6,109.5,108.1,96,0.472,0.369,0.779,9.6,32.7,22.2,8.8,4.1,13.3,18.8,0,0
Houston Rockets,1996,48,34,27,14,21,20,6,9,16,13,102.5,109.3,107.4,93.2,0.464,0.362,0.765,11.2,29.9,24.2,7.9,5.8,15.2,21.4,0,0
Chicago Bulls,2014,48,34,27,14,21,20,6,5,27,19,93.7,102.5,100.5,90.2,0.432,0.348,0.779,11.4,32.7,22.7,7.2,5.2,14.9,19.1,0,0
Oklahoma City Thunder,2012,47,19,26,7,21,12,5,4,27,5,103.1,109.8,103.2,93,0.471,0.358,0.806,11,32.7,18.5,7.5,8.2,16.3,20.5,1,0
New York Knicks,1996,47,35,26,15,21,20,4,0,20,15,97.2,106,103.5,91,0.471,0.377,0.757,10.1,29.9,22.2,7.9,4.6,15.5,22.7,0,0
Cleveland Cavaliers,1996,47,35,26,15,21,20,10,6,27,18,91.1,109.9,106.7,82.3,0.46,0.377,0.763,10.6,25.1,22.2,8.2,4.1,13.1,20.5,0,0
Houston Rockets,1982,46,36,25,16,21,20,14,10,15,16,105.9,108.3,108.3,97.2,0.476,0.284,0.729,17.1,27.9,24.1,7.9,5.2,16.1,22.8,0,0
Seattle SuperSonics,2000,45,37,24,17,21,20,8,7,22,17,99.1,105.6,104.6,93.4,0.447,0.339,0.695,12.7,30.3,22.9,8,4.2,14,21.7,0,0
Houston Rockets,2001,45,37,24,17,21,20,4,10,25,14,97.2,106.7,104.2,90.4,0.453,0.357,0.758,11.2,30.8,19.7,7.2,4.4,14.7,20.2,0,0
Chicago Bulls,2013,45,37,24,17,21,20,11,7,16,16,93.2,103.5,103.2,89.3,0.437,0.353,0.773,12.5,30.7,23,7.2,5.1,14.3,19.7,0,0
Washington Bullets,1982,43,39,22,19,21,20,10,10,17,11,103.5,103.3,102.5,99.4,0.474,0.25,0.772,12.8,31.5,24.2,7.8,4.8,17,25.3,0,0
Philadelphia 76ers,2002,43,39,22,19,21,20,3,5,19,13,91,102.1,100.3,88.9,0.436,0.299,0.779,13.3,30.9,20,8.6,4.4,15.3,20.1,0,0
Boston Celtics,1987,59,23,39,2,20,21,5,9,36,6,112.6,113.5,106.8,98.6,0.517,0.366,0.808,11.4,31.5,29.5,6.8,6.4,15.9,20.9,1,0
Cleveland Cavaliers,1989,57,25,37,4,20,21,6,7,39,9,108.8,110.6,102.9,98,0.502,0.359,0.747,12.6,30.2,27.6,9.6,7.1,16.1,19.4,0,0
Phoenix Suns,1994,56,26,36,5,20,21,8,7,30,12,108.2,111.7,106.8,96.7,0.484,0.33,0.728,14.9,29.9,27.6,9.1,5.6,15.9,20,0,0
Indiana Pacers,2000,56,26,36,5,20,21,8,5,28,13,101.3,108.5,103.6,93.1,0.459,0.392,0.811,10.3,31.9,22.6,6.8,5.1,14.1,21.8,1,0
Atlanta Hawks,1997,56,26,36,5,20,21,5,3,35,14,94.8,108.5,102.3,86.8,0.446,0.359,0.763,12.5,28.7,19,8.5,5.2,15,19.4,0,0
Phoenix Suns,1989,55,27,35,6,20,21,5,4,33,14,118.6,113.1,105.7,104.5,0.498,0.349,0.791,13.4,31.9,27.8,8.5,5.1,15.6,23.6,0,0
Dallas Mavericks,1987,55,27,35,6,20,21,8,4,34,9,116.7,114.9,108.7,100.5,0.487,0.354,0.791,14.9,30.4,24.6,8.4,5.2,14.7,22.8,0,0
Detroit Pistons,1988,54,28,34,7,20,21,5,8,35,12,109.2,110.5,105.3,98.3,0.493,0.287,0.757,14.4,30.3,24.5,7.2,4.8,16.4,23.9,1,0
Denver Nuggets,2019,54,28,34,7,20,21,13,3,23,11,110.7,113,108.9,97.7,0.466,0.351,0.755,11.9,34.5,27.4,7.7,4.4,13.4,20,0,0
Portland Trail Blazers,2009,54,28,34,7,20,21,9,1,31,11,99.4,113.9,107.8,86.6,0.465,0.383,0.765,12.9,28.8,20.3,6.7,4.9,12.9,20.4,0,0
Portland Trail Blazers,1988,53,29,33,8,20,21,8,4,30,15,116.1,111.8,107.4,103.6,0.491,0.308,0.77,15.3,30.4,28.1,8.9,4.2,16.5,25.5,0,0
Dallas Mavericks,1988,53,29,33,8,20,21,5,5,29,15,109.3,112.2,107.7,97,0.475,0.293,0.789,16.4,30.4,24.2,7.9,5.4,15.3,21.1,0,0
Utah Jazz,1994,53,29,33,8,20,21,9,6,30,9,101.9,108.6,104.1,93.1,0.477,0.32,0.74,12.9,29.1,26.6,9.2,4.4,14.5,24.2,0,0
Houston Rockets,2009,53,29,33,8,20,21,5,8,29,11,98.4,108.4,104,90.2,0.453,0.375,0.805,10.5,32.5,20.3,6.7,4.3,14.1,18.9,0,0
Detroit Pistons,1987,52,30,32,9,20,21,12,6,27,12,111.2,109.2,105.8,101,0.49,0.231,0.765,15.2,32.3,24.6,7.8,5.3,17.3,25.3,0,0
Philadelphia 76ers,1984,52,30,32,9,20,21,12,6,16,9,107.8,106.8,104.6,99.6,0.495,0.271,0.754,14.4,29,24.8,9.8,8,19.9,24.9,0,0
Indiana Pacers,1996,52,30,32,9,20,21,10,8,22,7,99.3,110.8,107.2,89.3,0.48,0.373,0.755,12.3,27.6,23.4,7.1,3.9,16.3,24.8,0,0
Philadelphia 76ers,2019,51,31,31,10,20,21,10,8,22,16,115.2,112.6,110,101.6,0.471,0.359,0.771,10.9,36.9,26.9,7.4,5.3,14.9,21.3,0,0
Milwaukee Bucks,1983,51,31,31,10,20,21,7,7,34,13,106.6,105.8,101.4,100,0.489,0.219,0.753,13.4,30.2,25.8,8.1,6.5,17.6,26,0,0
Cleveland Cavaliers,2017,51,31,31,10,20,21,3,4,25,15,110.3,113.6,110.3,96.2,0.47,0.384,0.748,9.3,34.4,22.7,6.6,4,13.7,18.1,1,0
Phoenix Suns,2001,51,31,31,10,20,21,7,4,18,13,94,100.3,98,93.1,0.436,0.315,0.755,11.8,30.8,23.2,9.5,5.2,15.2,22.7,0,0
Utah Jazz,2007,51,31,31,10,20,21,10,10,26,11,101.5,110.1,107,91.6,0.474,0.335,0.743,12.6,30,24.7,7,4.1,15.6,25.2,0,0
Milwaukee Bucks,1984,50,32,30,11,20,21,5,6,30,15,105.7,107.8,103.6,96.9,0.492,0.254,0.74,13.8,29.1,25.8,7.8,6,17.3,26.4,0,0
Atlanta Hawks,1988,50,32,30,11,20,21,10,11,27,15,107.9,111.3,107.6,96.4,0.485,0.301,0.767,15,29,25.1,7.7,6.5,14.9,25,0,0
Chicago Bulls,1988,50,32,30,11,20,21,10,10,25,12,105,109,105.5,95.5,0.49,0.23,0.759,14.3,30,26.2,8.7,5.8,15.4,22.5,0,0
Sacramento Kings,2005,50,32,30,11,20,21,10,7,20,15,103.7,110.5,108.2,93,0.459,0.374,0.787,12.5,29.9,24.5,8.2,3.9,13.1,20.5,0,0
Cleveland Cavaliers,2007,50,32,30,11,20,21,9,7,25,11,96.8,105.5,101.3,90.8,0.447,0.352,0.696,12.7,30.8,20.8,7.6,4.3,14.4,21.7,1,0
Detroit Pistons,2003,50,32,30,11,20,21,10,9,27,11,91.4,104.1,99.9,86.8,0.43,0.358,0.771,10.8,29.8,19.8,6.8,5.7,13.5,21.3,0,0
Philadelphia 76ers,2000,49,33,29,12,20,21,17,8,18,14,94.8,101.5,100,92.7,0.442,0.323,0.708,14,30.1,22.2,9.6,4.7,15.7,23.6,0,0
Portland Trail Blazers,1997,49,33,29,12,20,21,4,9,27,11,99,107.9,103.3,90.9,0.464,0.358,0.713,12.9,30.4,20.9,7.8,5.3,16.5,23.5,0,0
New Jersey Nets,2006,49,33,29,12,20,21,8,6,21,17,93.8,103.9,102.4,89.8,0.44,0.33,0.758,10,31,23,6.8,3.4,13.6,23.2,0,0
